nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Australia,25687041,7692024,Oceanía
Brasil,213993437,8515767,América
Bélgica,11555997,30528,Europa
Canadá,38008005,9984670,América
China,1412600000,9596960,Asia
Dinamarca,5822763,42933,Europa
Dominicana,10847904,48671,América
Egipto,109262178,1002450,África
España,47351567,505990,Europa
Francia,67391582,551695,Europa
Finlandia,5540720,338424,Europa
Grecia,10423054,131957,Europa
Ghana,31072940,238533,África
Hungría,9749763,93030,Europa
Honduras,9904607,112492,América
India,1393409038,3287263,Asia
Italia,59554023,301340,Europa
Japón,125800000,377975,Asia
Jamaica,2961161,10991,América
Kenia,53771300,580367,África
Kazajistán,18776707,2724900,Asia
Líbano,5540720,10452,Asia
Luxemburgo,642371,2586,Europa
México,126190788,1964375,América
Marruecos,36910560,446550,África
Nigeria,206139589,923768,África
Noruega,5421241,385207,Europa
Omán,5106626,309500,Asia
Oceanía Estados Federados de Micronesia,116255,702,Oceanía
Perú,33050325,1285216,América
Portugal,10196709,92212,Europa
Qatar,2881053,11586,Asia
Quirguistán,6591600,199951,Asia
Rusia,144104080,17098242,Europa/Asia
Rumania,19237691,238397,Europa
Suecia,10160118,450295,Europa
Sudáfrica,59308690,1219090,África
Tailandia,69950860,513120,Asia
Turquía,84135428,783562,Asia/Europa
Uganda,45741000,241038,África
Uruguay,3473727,176215,América
Venezuela,28435943,916445,América
Vietnam,97338579,331212,Asia
Western Sahara,652271,266000,África
Wallis and Futuna,11246,142,Oceanía
Yemen,29825964,527968,Asia
Yibuti,988000,23200,África
Zambia,18383955,752612,África
Zimbabue,14862924,390757,África
